MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
MitsubishiPajeroLDi,Mitsubishi,Pajero,LDi,Hatchback,Manual,diesel,8,1,Grey,6.7,6.8,"53,000",566633,315382,44.3
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol,5,1,White,4.6,8.9,"62,414",457174,194480,57.5
FordMustang Altis1.8v,Ford,Mustang Altis,1.8v,Sedan,Automatic,Petrol,9,1,Red,4.5,7.5,"62,000",1767000,426550,75.9
MazdaTitanFluidic 1.6 VTVT SX,Mazda,Titan,Fluidic 1.6 VTVT SX,Sedan,Manual,Petrol,6,1,White,5.4,5.2,"67,889",1046416,592800,43.3
FordPinto2.5 VX 7 STR BS-IV,Ford,Pinto,2.5 VX 7 STR BS-IV,MUV,Manual,Diesel,8,1,Silver,4.8,9.2,"92,000",1738257,665550,61.7
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,6,1,White,4.3,4.4,"44,000",750204,352182,53.1
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,9,1,Red,6.8,6.4,"23,949",537850,215600,59.9
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,6,2,Silver,4.5,6,"36,000",2426682,889200,63.4
MazdaAtenzaGLS,Mazda,Atenza,GLS,Sedan,Manual,Petrol,6,1,other,5,9.9,"86,525",691111,184800,73.3
FordPinto2.5 G4 8 STR,Ford,Pinto,2.5 G4 8 STR,MUV,Manual,diesel,7,1,Golden,7,5,"40,000",1120298,940000,16.1
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,8,1,Beige,4.5,8.2,"20,400",537850,201520,62.5
NissanBirdVI-dtec,Nissan,Bird,VI-dtec,SUV,Manual,Diesel,3,1,White,5,7.4,"16,000",1042397,641200,38.5
NissanMaximaVx(o)I-vtec,Nissan,Maxima,Vx(o)I-vtec,Hatchback,Manual,Petrol,1,1,Silver,4.5,8.2,"6,500",1331847,1029511,22.7
FordEdgeG,Ford,Edge,G,Sedan,Manual,Petrol,7,1,Silver,4.5,5.2,"42,847",700234,287950,58.9
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,2,White,5,6.8,"26,000",585070,242550,58.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,6,1,White,6.4,4.8,"41,000",870791,482998,44.5
MazdaTitan1.6 VTVT SX,Mazda,Titan,1.6 VTVT SX,Sedan,Manual,Petrol,11,3,Blue,5,9.9,"65,550",1135123,176000,84.5
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,2,Silver,5,7,"45,656",1525510,417198,72.7
MitsubishiCrossLdi BS-IV,Mitsubishi,Cross,Ldi BS-IV,Hatchback,Manual,Diesel,4,1,White,5.3,4.2,"30,787",607772,402268,33.8
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,7,1,White,5.7,3.4,"65,000",1464334,631488,56.9
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,8,1,Silver,5.3,9.4,"70,000",1464334,242550,83.4
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Automatic,diesel,6,1,White,6.8,3.4,"19,000",768774,520950,32.2
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Automatic,Petrol,9,1,Silver,6.4,6.2,"71,523",741508,310800,58.1
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,12,2,Silver,6.8,3.4,"78,294",336331,211200,37.2
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,7,1,White,6.8,6.8,"17,876",944779,497200,47.4
MitsubishiEclipseVXi BS-III,Mitsubishi,Eclipse,VXi BS-III,Hatchback,Manual,Petrol,9,2,White,5,6.8,"42,000",411607,149600,63.7
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,2,White,6.4,4.4,"82,000",563323,238032,57.7
MitsubishiPajeroLXi,Mitsubishi,Pajero,LXi,Hatchback,Automatic,Petrol,6,1,Grey,6.8,7.2,"26,520",463670,306222,34
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,White,4.5,9.9,"49,000",1525510,426550,72
FordMustang Altis1.8Vl,Ford,Mustang Altis,1.8Vl,Sedan,Automatic,Petrol,10,2,Golden,6.8,9.9,"60,000",1822366,403200,77.9
MazdaRX20Laputa 1.2 (O),Mazda,RX20,Laputa 1.2 (O),Hatchback,Manual,Petrol,8,1,Black,6.8,6.4,"2,010",608104,324558,46.6
FordPinto2.5 G4 8 STR,Ford,Pinto,2.5 G4 8 STR,MUV,Manual,Diesel,6,1,Grey,3.8,7.2,"73,564",1120298,914550,18.4
MitsubishiOutlanderLXi,Mitsubishi,Outlander,LXi,Hatchback,Manual,Petrol,12,1,Black,6.8,9.2,"72,643",378850,96801,74.4
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,White,4.3,8.5,"85,000",837628,206800,75.3
NissanTerrano2.4 VTi-L MT,Nissan,Terrano,2.4 VTi-L MT,Sedan,Manual,Petrol,7,1,White,5,8.9,"28,000",1883226,651902,65.4
MazdaRX20Triton 1.4 CRDI,Mazda,RX20,Triton 1.4 CRDI,Hatchback,Manual,Diesel,7,2,White,4.8,5.8,"71,000",739676,310800,58
MazdaB seriesGVS,Mazda,B series,GVS,Hatchback,Manual,Petrol,9,1,Silver,9.9,8.5,"25,000",503680,114400,77.3
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,Silver,6.8,9,"62,000",837628,238032,71.6
MazdaB seriesGL,Mazda,B series,GL,Hatchback,Manual,Petrol,12,1,Black,6.8,7,"16,000",367675,101200,72.5
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,5,1,White,3.3,5.8,"70,959",996627,592800,40.5
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,5,1,Silver,3.5,6.8,"65,351",514112,297078,42.2
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,diesel,10,1,White,3.8,5.2,"1,05,700",1585233,690000,56.5
MazdaRX10Triton 1.2 Grind2,Mazda,RX10,Triton 1.2 Grind2,Hatchback,Manual,Petrol,5,1,Grey,5,5.8,"33,970",510209,292512,42.7
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,Diesel,4,1,Silver,3.8,7.2,"42,000",1585233,1172509,26
MazdaSpeed Xo,Mazda,Speed ,Xo,Hatchback,Manual,Petrol,11,2,Golden,4.3,9.9,"1,00,000",453719,86240,81
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,9,1,White,4.5,6.8,"54,000",806541,278838,65.4
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,6,1,Silver,6.4,5,"40,000",585070,389238,33.5
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,1,Silver,7,9.2,"52,000",837628,198000,76.4
NissanKicks1.8I-vtec,Nissan,Kicks,1.8I-vtec,Hatchback,Manual,Petrol,10,1,Red,6.8,4.8,"43,287",1303955,366048,71.9
MazdaRX20Triton(o)1.4Crdi,Mazda,RX20,Triton(o)1.4Crdi,Hatchback,Manual,Diesel,6,1,White,3.8,4.6,"64,688",650710,403200,38
NissanMaximaVx(o)I-dtec,Nissan,Maxima,Vx(o)I-dtec,Hatchback,Manual,Diesel,3,1,Red,7.4,9.2,"50,000",1497108,1099241,26.6
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,8,2,Silver,5,5.9,"55,002",514112,184800,64.1
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,8,1,Silver,4.8,7,"81,000",1464334,370678,74.7
MazdaSpeed Xo,Mazda,Speed ,Xo,Hatchback,Manual,Petrol,11,1,Blue,4.5,8.2,"42,000",453719,101200,77.7
NissanMaxima1.5EMtI-vtec,Nissan,Maxima,1.5EMtI-vtec,MUV,Manual,Petrol,6,1,Brown,5.7,8.2,"62,000",930953,482998,48.1
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,10,2,Black,6.1,9.9,"89,664",1675849,274288,83.6
MazdaClass RX20Laputa 1.2,Mazda,Class RX20,Laputa 1.2,Hatchback,Manual,Petrol,3,1,Silver,5,4,"7,000",762624,607278,20.4
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,1,Grey,9.6,4.6,"44,433",563323,216480,61.6
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,2,Golden,4.3,9.9,"63,100",996627,310800,68.8
MazdaTitan1.6SxVtvtAt,Mazda,Titan,1.6SxVtvtAt,Sedan,Automatic,Petrol,3,1,Silver,8.3,7.1,"27,000",1187794,889866,25.1
MazdaAccioS 1.2,Mazda,Accio,S 1.2,Sedan,Manual,Petrol,3,1,Silver,7.7,6.7,"95,000",709521,309876,56.3
MazdaRX20G5 1.2 (O),Mazda,RX20,G5 1.2 (O),Hatchback,Manual,Petrol,6,1,White,9.9,9.2,"23,500",711758,334302,53
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,6,1,White,5,4.8,"45,000",741508,352182,52.5
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,10,1,Golden,4.6,9.5,"1,30,000",1317441,568750,56.8
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,Diesel,11,1,Grey,4.5,4.4,"56,165",1585233,1211250,23.6
MazdaRX10Triton1.1,Mazda,RX10,Triton1.1,Hatchback,Manual,Petrol,10,1,White,9.5,4.6,"58,091",530124,315382,40.5
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,5,1,Red,6,3.8,"39,000",475198,324558,31.7
NissanMaxima1.5 V AT Sunroof,Nissan,Maxima,1.5 V AT Sunroof,Sedan,Automatic,Petrol,2,1,Brown,8.3,5.7,"18,000",1245846,1052141,15.5
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,2,Grey,4.8,6.4,"79,794",944779,324558,65.6
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Automatic,Diesel,3,1,White,3.3,8.9,"60,000",768774,450000,41.5
MitsubishiEclipseVXi Minor,Mitsubishi,Eclipse,VXi Minor,Hatchback,Manual,Petrol,8,2,Grey,5.7,9.8,"79,245",439735,184800,58
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,2,White,4.5,4.6,"56,000",837628,256128,69.4
FordEdge LivaGD,Ford,Edge Liva,GD,Hatchback,Manual,Diesel,5,1,Grey,4.8,4.2,"56,451",691356,393888,43
MitsubishiEclipseVXi BS-III,Mitsubishi,Eclipse,VXi BS-III,Hatchback,Manual,Petrol,12,3,Maroon,6.8,3.8,"58,000",411607,136400,66.9
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,3,1,White,3.8,5.9,"28,075",1525510,1235000,19
MazdaTitanFluidic 1.6 VTVT SX Opt,Mazda,Titan,Fluidic 1.6 VTVT SX Opt,Sedan,Manual,Petrol,7,1,White,4.3,3.2,"50,011",1157910,507638,56.2
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,diesel,10,1,Silver,6.4,3.8,"84,000",1317441,665550,49.5
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,8,1,Blue,5,5.9,"45,000",651184,265200,59.3
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,10,1,Red,5,5.9,"60,000",462988,162800,64.8
MitsubishiSx4ZXI AT BS-IV,Mitsubishi,Sx4,ZXI AT BS-IV,Sedan,Automatic,Petrol,8,1,Blue,6.2,6,"31,349",1002965,347568,65.3
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Manual,diesel,6,1,White,5.6,4.8,"65,000",879273,473550,46.1
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,12,2,Grey,5,9.4,"83,039",1464334,175120,88
MazdaRX20Laputa 1.2 BS-IV,Mazda,RX20,Laputa 1.2 BS-IV,Hatchback,Manual,Petrol,8,1,Black,6.8,6,"37,000",685269,310800,54.6
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,9,1,Silver,5,5.7,"55,000",394409,123200,68.8
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,9,1,Grey,4.5,7.9,"54,000",996627,333750,66.5
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,Silver,5,4.2,"45,000",585070,284303,51.4
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,3,1,Brown,9.9,5.7,"9,042",505259,403200,20.2
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,7,1,Golden,5,4.2,"39,550",1139496,544800,52.2
MazdaRX20G51.4At(o),Mazda,RX20,G51.4At(o),Hatchback,Manual,Petrol,9,1,Blue,6.8,5.4,"50,891",873179,338352,61.3
MitsubishiPajeroLXi,Mitsubishi,Pajero,LXi,Hatchback,Manual,Petrol,9,1,Black,6.8,9.9,"47,385",463670,184800,60.1
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,7,1,White,4.3,6.6,"60,000",536698,310800,42.1
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,4,1,Silver,6.7,3.8,"21,245",475198,347568,26.9
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,7,1,Silver,3.8,8.2,"72,229",1217935,506688,58.4
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,1,White,3.3,9.9,"1,55,000",944779,295251,68.7
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol + CNG,6,1,Grey,5.7,8,"63,547",490492,260662,46.9
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Automatic,diesel,5,1,other,5,6.8,"92,000",768774,459408,40.2
MitsubishiCrossVXI BS-IV,Mitsubishi,Cross,VXI BS-IV,Hatchback,Manual,Petrol,8,1,Silver,4.3,7,"66,548",566808,238032,58
NissanKicks1.8I-vtec,Nissan,Kicks,1.8I-vtec,Hatchback,Manual,Petrol,10,1,Red,4.3,9.9,"75,000",1303955,219120,83.2
NissanMaximaSI-vtec,Nissan,Maxima,SI-vtec,Hatchback,Manual,Petrol,6,1,White,4.8,8.1,"63,579",1004692,435918,56.6
MazdaTitanFluidic 1.6 VTVT SX,Mazda,Titan,Fluidic 1.6 VTVT SX,Sedan,Manual,Petrol,5,1,Silver,4.5,5.7,"15,750",1046416,652389,37.7
NissanBird1.2VI-vtec,Nissan,Bird,1.2VI-vtec,Sedan,Manual,Petrol,6,1,Grey,4.3,8.9,"49,300",843315,356800,57.7
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,CNG,6,1,White,5.7,6.8,"59,354",475198,251598,47.1
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,3,1,Grey,3.8,7,"24,321",490492,333750,32
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,12,3,Maroon,5,5.8,"56,000",475198,118800,75
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,Black,5,8.8,"67,000",837628,184800,77.9
MitsubishiChallengerLXi BS-IV,Mitsubishi,Challenger,LXi BS-IV,Hatchback,Manual,Petrol,7,1,Blue,5,4.2,"25,000",342090,184800,46
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,4,White,9.9,9.9,"55,000",944779,352182,62.7
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,7,1,other,5.7,5,"70,000",462988,287950,37.8
MazdaRX20Laputa 1.2 BS-IV,Mazda,RX20,Laputa 1.2 BS-IV,Hatchback,Manual,Petrol,8,1,Black,4.8,7,"72,000",685269,242550,64.6
MazdaClass RX20G5 1.2 (O),Mazda,Class RX20,G5 1.2 (O),Hatchback,Manual,Petrol,3,1,Maroon,4.3,4.8,"18,000",912293,607278,33.4
FordMustang AltisG Diesel,Ford,Mustang Altis,G Diesel,Sedan,Manual,Diesel,7,1,Golden,4.8,9.1,"82,000",2109722,497200,76.4
MazdaAccioSX AT 1.2 (O),Mazda,Accio,SX AT 1.2 (O),Sedan,Automatic,Petrol,4,1,Blue,5,6.1,"4,109",904178,530478,41.3
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,10,1,White,6.4,4.2,"65,482",944779,530478,43.9
MitsubishiCrossLdi BS-IV,Mitsubishi,Cross,Ldi BS-IV,Hatchback,Manual,Diesel,9,1,Blue,4.8,9.4,"88,000",607772,176000,71
MazdaRX20G5 1.4 (AT),Mazda,RX20,G5 1.4 (AT),Hatchback,Automatic,Petrol,8,1,Silver,4.3,9.9,"67,000",893729,292512,67.3
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,Black,4.3,9.9,"77,000",1525510,310800,79.6
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,1,Beige,4.8,6.1,"84,000",944779,310800,67.1
MazdaClass RX20Laputa1.4SpecialEdition,Mazda,Class RX20,Laputa1.4SpecialEdition,Hatchback,Manual,Diesel,2,1,Red,7.9,8.7,"67,000",919131,540022,41.2
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,diesel,9,1,Silver,6.3,4.2,"80,000",870791,355876,59.1
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,1,Brown,5.5,7.6,"46,000",837628,194480,76.8
MitsubishiCrossLdi BS-IV,Mitsubishi,Cross,Ldi BS-IV,Hatchback,Manual,diesel,9,1,Grey,4,6.2,"79,326",607772,265200,56.4
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol,8,1,Silver,4.5,9.9,"55,126",457174,162800,64.4
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,10,1,Beige,4.5,7.4,"39,000",828687,229008,72.4
FordPinto2.5G(diesel)8Seater,Ford,Pinto,2.5G(diesel)8Seater,MUV,Manual,Diesel,4,1,Beige,4.5,6.7,"15,000",1615121,1175506,27.2
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol,9,1,Silver,4.5,7.9,"46,000",457174,154000,66.3
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,4,1,Grey,4.6,6.8,"59,107",533447,309884,41.9
MitsubishiEclipse 1.0VXi,Mitsubishi,Eclipse 1.0,VXi,Hatchback,Manual,Petrol,3,1,White,5,7.7,"15,435",520309,324558,37.6
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,12,2,Silver,4.5,9.9,"64,000",1464334,220000,85
FordPinto2.5 G 7 STR BS-IV,Ford,Pinto,2.5 G 7 STR BS-IV,MUV,Manual,Diesel,7,1,White,4.6,7.9,"91,000",1475247,714550,51.6
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,6,1,White,6,4.6,"55,200",870791,540022,38
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,diesel,6,1,White,4.5,6.6,"22,000",3013628,1781250,40.9
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Automatic,Petrol,4,1,Red,5,6.6,"42,000",741508,479217,35.4
MazdaB seriesGLS,Mazda,B series,GLS,Hatchback,Manual,Petrol,12,2,Red,5,9.4,"52,355",532494,70400,86.8
MitsubishiChallenger 800LXI,Mitsubishi,Challenger 800,LXI,Hatchback,Manual,Petrol,3,1,Red,4.5,4.2,"13,316",375111,256128,31.7
MitsubishiPajero VXi 1.2 ABS BS-IV,Mitsubishi,Pajero ,VXi 1.2 ABS BS-IV,Hatchback,Manual,Petrol,4,1,Grey,8.5,4.2,"24,000",562758,426550,24.2
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,6,1,White,5,9.5,"38,000",446864,224502,49.8
MitsubishiEclipseVxiBsIv,Mitsubishi,Eclipse,VxiBsIv,Hatchback,Manual,Petrol,6,1,Blue,4.6,7,"90,000",506416,206800,59.2
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,1,Silver,5.7,3.8,"85,000",944779,403200,57.3
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,10,1,Silver,6.8,9.6,"55,355",771954,251598,67.4
MitsubishiPajeroLxi1.3,Mitsubishi,Pajero,Lxi1.3,Hatchback,Manual,Petrol,12,2,Red,6.8,6.4,"65,000",464829,149600,67.8
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,8,1,Grey,7,9.2,"20,300",1585200,487728,69.2
NissanKicks1.8vMtSunRoof,Nissan,Kicks,1.8vMtSunRoof,Sedan,Manual,Petrol,6,1,White,4.8,8,"50,300",1639822,450000,72.6
MitsubishiCiazZXI+,Mitsubishi,Ciaz,ZXI+,Sedan,Manual,Petrol,3,1,White,9.5,6.3,"31,602",1079072,704718,34.7
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,8,1,Red,6.8,5,"42,069",462988,278838,39.8
MazdaClass RX20G5 1.4 CRDI,Mazda,Class RX20,G5 1.4 CRDI,Hatchback,Manual,Diesel,3,1,Maroon,4.6,9.1,"44,000",981173,592800,39.6
FordMustang Altis1.8JS,Ford,Mustang Altis,1.8JS,Sedan,Manual,Petrol,6,2,Silver,4.3,9.9,"37,999",1538468,448120,70.9
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,5,1,Maroon,4.3,7.2,"37,000",944779,587982,37.8
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Manual,Petrol,11,1,Grey,6.8,9.9,"72,000",640982,193600,69.8
NissanMaximaVX CVT,Nissan,Maxima,VX CVT,Sedan,Automatic,Petrol,3,1,Brown,4.8,8.8,"30,277",1425983,863950,39.4
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,5,1,White,5,6.8,"79,865",806541,450000,44.2
MazdaClass RX20Triton 1.2,Mazda,Class RX20,Triton 1.2,Hatchback,Manual,Petrol,2,1,Grey,4.5,4.9,"4,600",712796,559158,21.6
MitsubishiPajero FocusZXi,Mitsubishi,Pajero Focus,ZXi,Sedan,Manual,Petrol,6,1,White,4.2,7.3,"1,24,994",812098,333750,58.9
NissanKicks1.8E MT,Nissan,Kicks,1.8E MT,Sedan,Manual,Petrol,8,2,White,6.8,5,"25,000",1220278,568750,53.4
FordMustang Altis1.8 J,Ford,Mustang Altis,1.8 J,Sedan,Manual,Petrol,8,1,Silver,6.3,9.9,"67,600",1352344,426550,68.5
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,10,1,White,5,9.1,"74,000",1525510,287950,81.1
MazdaRX10Era 1.1 iRDE2,Mazda,RX10,Era 1.1 iRDE2,Hatchback,Manual,Petrol,9,2,Golden,4.5,7.4,"22,000",504450,167200,66.9
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,12,1,Brown,6.4,8.6,"82,000",771954,202400,73.8
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,8,1,other,5.7,5,"75,075",806541,464118,42.5
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,5,1,Other,9.5,8,"43,000",944779,482998,48.9
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,9,2,Golden,5,4,"63,226",738248,287950,61
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,9,2,Silver,6.4,8.4,"60,000",1525510,403200,73.6
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,6,1,Red,4,5.3,"59,000",806541,417198,48.3
MazdaRX10Triton 1.1 iRDE2,Mazda,RX10,Triton 1.1 iRDE2,Hatchback,Manual,Petrol,7,1,White,6,5.8,"63,000",541570,269742,50.2
FordPinto2.5 VX 8 STR BS-III,Ford,Pinto,2.5 VX 8 STR BS-III,MUV,Manual,Diesel,6,1,Silver,3.8,8.2,"65,000",1713152,1013725,40.8
MazdaDemioLaputa,Mazda,Demio,Laputa,Hatchback,Manual,Petrol,2,1,Blue,5,7.2,"8,903",510953,297078,41.9
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,6,1,gold,5.2,3.4,"42,000",475198,297078,37.5
MitsubishiSx4VXI BS-IV,Mitsubishi,Sx4,VXI BS-IV,Sedan,Manual,CNG,8,1,White,6.8,4.2,"33,756",825224,356800,56.8
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,White,4.8,8.8,"85,000",996627,352182,64.7
NissanTerrano2.4 Inspire MT,Nissan,Terrano,2.4 Inspire MT,Sedan,Manual,Petrol,10,1,Black,5,9.4,"65,000",2446810,379950,84.5
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,diesel,9,2,Silver,6.1,8.8,"79,484",475198,171600,63.9
FordPinto2.5 VX 7 STR BS-IV,Ford,Pinto,2.5 VX 7 STR BS-IV,MUV,Manual,Diesel,5,1,Blue,3.3,8.2,"1,62,412",1738257,1182501,32
MitsubishiChallengerVXI,Mitsubishi,Challenger,VXI,Hatchback,Manual,Petrol,7,2,Red,6.4,3.4,"40,179",336331,242550,27.9
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,6,1,Maroon,7.7,9.4,"72,500",996627,426550,57.2
NissanMaxima1.5EMtI-vtec,Nissan,Maxima,1.5EMtI-vtec,MUV,Manual,Petrol,11,1,Golden,4.3,6.9,"1,00,000",930953,238032,74.4
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,diesel,7,1,Silver,6.4,5.6,"42,000",1585233,818752,48.4
MazdaRX20Triton (O) 1.2,Mazda,RX20,Triton (O) 1.2,Hatchback,Manual,Petrol,5,1,Brown,4.5,7.6,"26,000",613863,352182,42.6
